Roll (deg),Pitch (deg),Heading (deg),Yaw (deg),Yaw Rate (deg/s),Velocity (m/s),Steering Angle (deg),Relative Altitude (m),Altitude AMSL (m),Altitude Tuning,Altitude Tuning Setpoint,X-Track Error (m),Travelled Distance (m),Run Time,Distance To Home (m),Mission Index,Heading To Next WP (deg),Heading To Home (deg),Distance To GCS (m),Throttle (%),Hobbs,Clock Time,Clock Date,GPS Latitude,GPS Longitude,GPS MGRS,GPS HDOP,GPS VDOP,GPS Course,Satellite Locks,Satellite Count,Longitudinal Position (m),Lateral Position (m),Vertical Position (m),Longitudinal Velocity (m/s),Absolute Longitudinal Velocity (m/s),Lateral Velocity (m/s),Absolute Lateral Velocity (m/s),Vertical Velocity (m/s),Temperature (F),Longitudinal Vibration,Lateral Vibration,Vertical Vibration,Data Type,EKF Detector
2.1,1.1,67,-113,0,0,-75.20323775,0.9,762.9,0.12,0.66,-2.12,3044,0:04:22,2570.7,2,356,239,,0,15:03:55,11:00:21,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.54,0,0,0,1,1
2.1,1,67,-113,0,0,-75.20323775,0.5,762.5,-0.61,0.66,-2.12,3070.5,0:04:23,2596.9,2,356,240,,0,15:03:55,11:00:22,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.54,0,0,0,1,1
2.1,1,67,-113,0,0,-75.20323775,0.5,762.5,-0.26,0.66,-2.12,3101.4,0:04:24,2627.5,2,356,240,,0,15:03:55,11:00:23,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.54,0,0,0,1,1
2.1,1,67,-113,0,0,-75.20323775,1.3,763.3,0.55,0.66,-2.12,3122.5,0:04:25,2648.4,2,356,240,,0,15:03:55,11:00:24,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.56,0,0,0,1,1
2,1,67,-113,0,0,-75.20323775,0.6,762.6,0,0.66,-2.12,3144.1,0:04:26,2669.7,2,356,240,,0,15:03:55,11:00:25,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.58,0,0,0,1,1
2,0.9,67,-113,0,0,-75.20323775,0.7,762.7,-0.57,0.66,-2.12,3170.5,0:04:27,2696,2,356,240,,0,15:03:55,11:00:26,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.6,0,0,0,1,1
2.1,1,67,-113,0,0,-75.20323775,1,762.9,0.04,0.66,-2.12,3192.1,0:04:28,2717.3,2,356,240,,0,15:03:55,11:00:27,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.61,0,0,0,1,1
2.1,1,67,-113,0,0,-75.20323775,0.4,762.4,0.42,0.66,-2.12,3224,0:04:29,2748.9,2,356,240,,0,15:03:55,11:00:28,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.61,0,0,0,1,1
2.1,1,67,-113,0,0,-75.20323775,0.4,762.4,-0.06,0.66,-2.12,3234.8,0:04:30,2759.6,2,356,240,,0,15:03:55,11:00:29,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.61,0,0,0,1,1
2.1,1,67,-113,0,0,-75.20323775,0.8,762.8,0.25,0.66,-2.12,3266.6,0:04:31,2791.2,2,356,240,,0,15:03:55,11:00:30,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.63,0,0,0,1,1
2.1,1,67,-113,0,0,-75.20323775,0.8,762.8,-0.01,0.66,-2.12,3292.6,0:04:32,2817,2,356,240,,0,15:03:55,11:00:31,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.65,0,0,0,1,1
2.1,1,67,-113,0,0,-75.20323775,1.3,763.2,0.08,0.66,-2.12,3324.5,0:04:33,2848.6,2,356,240,,0,15:03:55,11:00:32,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.67,0,0,0,1,1
2.1,1,67,-113,0,0,-75.20323775,0.5,762.5,0.49,0.66,-2.12,3345.6,0:04:34,2869.5,2,356,240,,0,15:03:55,11:00:33,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.67,0,0,0,1,1
2.1,1.1,67,-113,0,0,-75.20323775,1.3,763.3,-0.37,0.66,-2.12,3366.2,0:04:35,2889.9,2,356,240,,0,15:03:55,11:00:34,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.69,0,0,0,1,1
2.1,1.1,67,-113,0,0,-75.20323775,0.7,762.7,-0.11,0.66,-2.12,3392.2,0:04:36,2915.7,2,356,240,,0,15:03:55,11:00:35,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.69,0,0,0,1,1
2.1,1.1,67,-113,0,0,-75.20323775,0.8,762.8,0.21,0.66,-2.12,3423.1,0:04:37,2946.4,2,356,241,,0,15:03:55,11:00:36,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.72,0,0,0,1,1
2.1,1.1,67,-113,0,0,-75.20323775,0.7,762.7,-0.05,0.66,-2.12,3443.7,0:04:38,2966.8,2,356,241,,0,15:03:55,11:00:37,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.72,0,0,0,1,1
2,1.1,67,-113,0,0,-75.20323775,0.9,762.9,0.16,0.66,-2.12,3470.6,0:04:39,2993.6,2,356,241,,0,15:03:55,11:00:38,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.72,0,0,0,1,1
2,1.2,67,-113,0,0,-75.20323775,0.5,762.5,-0.42,0.66,-2.12,3491.7,0:04:40,3014.5,2,356,241,,0,15:03:55,11:00:39,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.74,0,0,0,1,1
1.9,1.2,67,-113,0,0,-75.20323775,1.3,763.3,0.54,0.66,-2.12,3523.6,0:04:41,3046.2,2,356,241,,0,15:03:55,11:00:40,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.76,0,0,0,1,1
1.9,1.2,67,-113,0,0,-75.20323775,0.8,762.8,0.16,0.66,-2.12,3544.7,0:04:42,3067.2,2,356,241,,0,15:03:55,11:00:41,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.78,0,0,0,1,1
1.9,1.2,67,-113,0,0,-75.20323775,-0.4,761.6,-0.25,0.66,-2.12,3566.3,0:04:43,3088.6,2,356,241,,0,15:03:55,11:00:42,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.81,0,0,0,1,1
1.9,1.2,67,-113,0,0,-75.20323775,0.4,762.4,-0.33,0.66,-2.12,3591.8,0:04:44,3113.9,2,356,241,,0,15:03:55,11:00:43,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.83,0,0,0,1,1
1.9,1.2,67,-113,0,0,-75.20323775,0.8,762.8,0.07,0.66,-2.12,3611.9,0:04:45,3133.9,2,356,241,,0,15:03:55,11:00:44,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.83,0,0,0,1,1
1.9,1.2,67,-113,0,0,-75.20323775,0.7,762.7,-0.46,0.66,-2.12,3648.2,0:04:46,3170,2,356,241,,0,15:03:55,11:00:45,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.85,0,0,0,1,1
1.8,1.3,67,-113,0,0,-75.20323775,1.1,763.1,0.34,0.66,-2.12,3669.7,0:04:47,3191.5,2,356,241,,0,15:03:55,11:00:46,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.88,0,0,0,1,1
1.8,1.3,66,-114,-1,0,-75.20323775,0,762,-0.6,0.66,-2.12,3689.8,0:04:48,3211.5,2,356,241,,0,15:03:55,11:00:47,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.9,0,0,0,1,1
1.8,1.3,66,-114,0,0,-75.20323775,0.4,762.4,-0.54,0.66,-2.12,3710.9,0:04:49,3232.5,2,356,241,,0,15:03:55,11:00:48,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.94,0,0,0,1,1
1.8,1.3,66,-114,0,0,-75.20323775,0.1,762,-0.44,0.66,-2.12,3748.2,0:04:50,3269.6,2,356,241,,0,15:03:55,11:00:49,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.97,0,0,0,1,1
1.8,1.3,66,-114,0,0,-75.20323775,0.2,762.2,-0.34,0.66,-2.12,3768.8,0:04:51,3290.1,2,356,241,,0,15:03:55,11:00:50,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,111.99,0,0,0,1,1
1.9,1.3,66,-114,0,0,-75.20323775,0.1,762.1,-0.59,0.66,-2.12,3789.4,0:04:52,3310.6,2,356,241,,0,15:03:55,11:00:51,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.01,0,0,0,1,1
1.8,1.3,66,-114,0,0,-75.20323775,0.5,762.5,-0.72,0.66,-2.12,3811,0:04:53,3332.1,2,356,241,,0,15:03:55,11:00:52,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.06,0,0,0,1,1
1.9,1.3,66,-114,0,0,-75.20323775,0.9,762.9,-0.7,0.66,-2.12,3832.5,0:04:54,3353.5,2,356,241,,0,15:03:55,11:00:53,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.08,0,0,0,1,1
1.8,1.4,66,-114,0,0,-75.20323775,0.5,762.5,-0.26,0.66,-2.12,3869.8,0:04:55,3390.7,2,356,241,,0,15:03:55,11:00:54,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.14,0,0,0,1,1
1.9,1.4,66,-114,0,0,-75.20323775,0.2,762.1,-0.27,0.66,-2.12,3890.4,0:04:56,3411.2,2,356,241,,0,15:03:55,11:00:55,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.17,0,0,0,1,1
1.8,1.4,66,-114,0,0,-75.20323775,0.6,762.6,-0.6,0.66,-2.12,3911,0:04:57,3431.7,2,356,241,,0,15:03:55,11:00:56,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.19,0,0,0,1,1
1.8,1.3,66,-114,0,0,-75.20323775,0.4,762.4,-0.2,0.66,-2.12,3937,0:04:58,3457.6,2,356,241,,0,15:03:55,11:00:57,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.21,0,0,0,1,1
1.8,1.4,66,-114,0,0,-75.20323775,0.4,762.4,-0.28,0.66,-2.12,3957.6,0:04:59,3478.1,2,356,241,,0,15:03:55,11:00:58,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.26,0,0,0,1,1
1.8,1.4,66,-114,0,0,-75.20323775,-0.3,761.7,-1.05,0.66,-2.12,3989,0:05:00,3509.4,2,356,242,,0,15:03:55,11:00:59,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.28,0,0,0,1,1
1.9,1.3,66,-114,0,0,-75.20323775,0,761.9,-0.81,0.66,-2.12,4010.5,0:05:01,3530.9,2,356,242,,0,15:03:55,11:01:00,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.32,0,0,0,1,1
1.9,1.4,66,-114,0,0,-75.20323775,0.5,762.5,-0.43,0.66,-2.12,4037,0:05:02,3557.3,2,356,242,,0,15:03:55,11:01:01,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.35,0,0,0,1,1
1.9,1.3,66,-114,0,0,-75.20323775,0.6,762.6,0.05,0.66,-2.12,4057.6,0:05:03,3577.8,2,356,242,,0,15:03:55,11:01:02,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.39,0,0,0,1,1
1.9,1.3,66,-114,0,0,-75.20323775,0.9,762.9,-0.42,0.66,-2.12,4078.2,0:05:04,3598.4,2,356,242,,0,15:03:55,11:01:03,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.42,0,0,0,1,1
1.9,1.3,66,-114,0,0,-75.20323775,0.7,762.7,-0.85,0.66,-2.12,4114,0:05:05,3634,2,356,242,,0,15:03:55,11:01:04,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.44,0,0,0,1,1
1.9,1.3,66,-114,0,0,-75.20323775,0.3,762.3,-0.79,0.66,-2.12,4135.1,0:05:06,3655,2,356,242,,0,15:03:55,11:01:05,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.5,0,0,0,1,1
1.9,1.3,66,-114,0,0,-75.20323775,0.2,762.2,-0.48,0.66,-2.12,4155.7,0:05:08,3675.6,2,356,242,,0,15:03:55,11:01:06,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.53,0,0,0,1,1
1.9,1.3,66,-114,0,0,-75.20323775,0.3,762.3,0.08,0.66,-2.12,4191,0:05:09,3710.8,2,356,242,,0,15:03:55,11:01:07,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.53,0,0,0,1,1
1.9,1.3,66,-114,0,0,-75.20323775,0.3,762.2,-1.15,0.66,-2.12,4212.6,0:05:10,3732.3,2,356,242,,0,15:03:55,11:01:08,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.57,0,0,0,1,1
1.9,1.3,66,-114,0,0,-75.20323775,0.5,762.5,-0.27,0.66,-2.12,4233.7,0:05:11,3753.3,2,356,242,,0,15:03:55,11:01:09,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.6,0,0,0,1,1
1.9,1.3,66,-114,0,0,-75.20323775,-0.1,761.9,-0.5,0.66,-2.12,4254.7,0:05:12,3774.3,2,356,242,,0,15:03:55,11:01:10,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.62,0,0,0,1,1
1.9,1.3,66,-114,0,0,-75.20323775,0,762,-0.7,0.66,-2.12,4290.5,0:05:13,3810,2,356,242,,0,15:03:55,11:01:11,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.62,0,0,0,1,1
1.9,1.3,66,-114,0,0,-75.20323775,0.4,762.4,-0.8,0.66,-2.12,4311.6,0:05:14,3831,2,356,242,,0,15:03:55,11:01:12,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.66,0,0,0,1,1
1.9,1.3,66,-114,0,0,-75.20323775,0.5,762.5,-0.13,0.66,-2.12,4332.2,0:05:15,3851.5,2,356,242,,0,15:03:55,11:01:13,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.68,0,0,0,1,1
1.9,1.3,66,-114,0,0,-75.20323775,-0.1,761.8,-0.93,0.66,-2.12,4358.7,0:05:16,3877.9,2,356,242,,0,15:03:55,11:01:14,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.71,0,0,0,1,1
1.9,1.2,66,-114,0,0,-75.20323775,0,762,-0.73,0.66,-2.12,4379.8,0:05:17,3899,2,356,242,,0,15:03:55,11:01:15,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.69,0,0,0,1,1
1.9,1.2,66,-114,0,0,-75.20323775,0.9,762.9,-0.73,0.66,-2.12,4400.4,0:05:18,3919.5,2,356,242,,0,15:03:55,11:01:16,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.75,0,0,0,1,1
1.9,1.2,66,-114,0,0,-75.20323775,1.1,763,0.28,0.66,-2.12,4436.7,0:05:19,3955.7,2,356,242,,0,15:03:55,11:01:17,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.75,0,0,0,1,1
1.9,1.2,66,-114,0,0,-75.20323775,0.5,762.4,-0.79,0.66,-2.12,4457.8,0:05:20,3976.7,2,356,242,,0,15:03:55,11:01:18,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.75,0,0,0,1,1
1.9,1.2,66,-114,0,0,-75.20323775,0.3,762.3,-0.1,0.66,-2.12,4478.4,0:05:21,3997.2,2,356,242,,0,15:03:55,11:01:19,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.8,0,0,0,1,1
1.9,1.1,66,-114,0,0,-75.20323775,0.1,762.1,0.14,0.66,-2.12,4498.9,0:05:22,4017.7,2,356,242,,0,15:03:55,11:01:20,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.8,0,0,0,1,1
1.9,1.1,66,-114,0,0,-75.20323775,0.5,762.4,-0.31,0.66,-2.12,4535.7,0:05:23,4054.4,2,356,242,,0,15:03:55,11:01:21,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.84,0,0,0,1,1
1.9,1.1,67,-113,1,0,-75.20323775,0.1,762,-0.63,0.66,-2.12,4545.5,0:05:24,4064.2,2,356,242,,0,15:03:55,11:01:22,5/24/2022,32.2298678,-110.911316,12SWA 08355 65918,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,112.84,0,0,0,1,1
3,2.3,68,-112,1,0.3,-75.20323775,0.2,762.2,-0.58,0.66,-2.12,8604.2,0:05:25,10.1,2,356,185,,0,15:03:55,11:01:23,5/24/2022,32.2311719,-110.9079238,12SWA 08675 66063,1.6,1.8,221.9,3,6,20.5,-0.1,-0.1,-0.2,0.2,-0.2,0.2,0.1,112.86,0,0,0,0,0
3.2,2.4,68,-112,0,0.4,-75.20323775,0.1,762.1,-0.62,0.66,-2.12,8604.2,0:05:26,9.9,2,356,184,,0,15:03:55,11:01:24,5/24/2022,32.2311476,-110.9079192,12SWA 08675 66060,1.4,1.7,221.9,3,7,20.3,-0.3,0,-0.2,0.2,-0.2,0.2,0.1,112.87,0,0,0,0,0
3.3,2.4,68,-112,0,0.4,-75.20323775,0.2,762.2,-0.51,0.66,-2.12,8604.2,0:05:27,9.5,2,356,184,,0,15:03:55,11:01:25,5/24/2022,32.2311354,-110.9079345,12SWA 08674 66059,1.4,1.7,221.9,3,7,19.9,-0.2,-0.1,-0.3,0.3,-0.2,0.2,0.1,112.87,0,0,0,0,0
3.4,2.5,68,-112,0,0.6,-75.20323775,0.3,762.3,-0.48,0.66,-2.12,8604.2,0:05:28,8.5,2,356,183,,0,15:03:55,11:01:26,5/24/2022,32.2311363,-110.9079439,12SWA 08673 66059,1.4,1.7,221.9,3,7,18.9,-0.5,-0.2,-0.5,0.5,-0.2,0.2,0.1,112.91,0,0,0,0,0
3.4,2.5,68,-112,0,0.6,-75.20323775,0.3,762.3,-0.46,0.66,-2.12,8606.4,0:05:29,8,2,356,181,,0,15:03:55,11:01:27,5/24/2022,32.2311364,-110.907947,12SWA 08673 66059,1.4,1.7,221.9,3,7,18.4,-0.9,-0.2,-0.6,0.6,-0.3,0.3,0.1,112.93,0,0,0,0,0
3.2,2.5,68,-112,0,0.6,-75.20323775,0.3,762.3,-0.5,0.66,-2.12,8606.4,0:05:30,8,2,356,176,,0,15:03:55,11:01:28,5/24/2022,32.2311418,-110.9079539,12SWA 08672 66060,1.1,1.7,324.6,3,8,18.3,-1.6,-0.2,-0.5,0.5,-0.4,0.4,0.1,112.93,0,0,0,0,0
3.1,2.4,68,-112,0,0.6,-75.20323775,0.2,762.2,-0.61,0.66,-2.12,8606.4,0:05:31,7.8,2,356,172,,0,15:03:55,11:01:29,5/24/2022,32.2311462,-110.9079559,12SWA 08672 66060,1.1,1.7,324.6,3,8,18.1,-2,-0.1,-0.5,0.5,-0.4,0.4,0.1,112.95,0,0,0,0,0
3,2.2,68,-112,0,0.5,-75.20323775,0.1,762.1,-0.62,0.66,-2.12,8606.4,0:05:32,7.6,2,356,170,,0,15:03:55,11:01:30,5/24/2022,32.2311488,-110.9079547,12SWA 08672 66060,1.1,1.7,324.6,3,8,17.8,-2.3,0,-0.4,0.4,-0.3,0.3,0.1,112.95,0,0,0,0,0
2.9,2,68,-112,0,0.3,-75.20323775,0.2,762.1,-0.6,0.66,-2.12,8606.4,0:05:33,7.5,2,356,168,,0,15:03:55,11:01:31,5/24/2022,32.2311494,-110.9079557,12SWA 08672 66061,1.1,1.7,324.6,3,8,17.8,-2.5,-0.1,-0.3,0.3,-0.2,0.2,0.1,112.95,0,0,0,0,0
2.8,1.9,68,-112,0,0.3,-75.20323775,0.2,762.1,-0.59,0.66,-2.12,8608.4,0:05:34,7.3,2,356,166,,0,15:03:55,11:01:32,5/24/2022,32.2311474,-110.9079554,12SWA 08672 66060,1.1,1.7,324.6,3,8,17.5,-2.7,-0.1,-0.3,0.3,-0.1,0.1,0.1,112.96,0,0,0,0,0
2.6,1.7,68,-112,0,0.2,-75.20323775,0.1,762,-0.7,0.66,-2.12,8608.4,0:05:35,7.2,2,356,166,,0,15:03:55,11:01:33,5/24/2022,32.2311504,-110.9079482,12SWA 08672 66061,1.1,1.7,342.3,3,8,17.3,-2.7,0,-0.3,0.3,-0.1,0.1,0.1,112.96,0,0,0,0,0
2.6,1.7,68,-112,0,0.2,-75.20323775,0.1,762.1,-0.62,0.66,-2.12,8608.4,0:05:36,7.1,2,356,169,,0,15:03:55,11:01:34,5/24/2022,32.2311521,-110.9079445,12SWA 08673 66061,1.1,1.7,342.3,3,8,17.4,-2.4,0,-0.2,0.2,0,0,0.1,112.95,0,0,0,0,0
2.6,1.7,68,-112,0,0.3,-75.20323775,0.2,762.2,-0.53,0.66,-2.12,8608.4,0:05:37,7,2,356,170,,0,15:03:55,11:01:35,5/24/2022,32.2311511,-110.9079432,12SWA 08673 66061,1.1,1.7,342.3,3,8,17.3,-2.2,-0.1,-0.3,0.3,0,0,0,112.96,0,0,0,0,0
2.6,1.7,68,-112,0,0.3,-75.20323775,0.3,762.3,-0.5,0.66,-2.12,8608.4,0:05:38,6.9,2,356,171,,0,15:03:55,11:01:36,5/24/2022,32.2311501,-110.9079422,12SWA 08673 66061,1.1,1.7,342.3,3,8,17.2,-2,-0.2,-0.3,0.3,0,0,0,112.96,0,0,0,0,0
2.6,1.7,68,-112,0,0.3,-75.20323775,0.3,762.3,-0.45,0.66,-2.12,8608.4,0:05:39,6.7,2,356,173,,0,15:03:55,11:01:37,5/24/2022,32.2311466,-110.9079404,12SWA 08673 66060,1.1,1.7,86.7,3,8,17.1,-1.8,-0.2,-0.3,0.3,0,0,0,112.98,0,0,0,0,0
2.6,1.7,68,-112,0,0.3,-75.20323775,0.4,762.4,-0.41,0.66,-2.12,8608.4,0:05:40,6.5,2,356,174,,0,15:03:55,11:01:38,5/24/2022,32.2311443,-110.9079408,12SWA 08673 66060,1.1,1.7,86.7,3,8,16.9,-1.7,-0.3,-0.3,0.3,0,0,0,112.96,0,0,0,0,0
2.6,1.8,68,-112,0,0.4,-75.20323775,0.4,762.4,-0.38,0.66,-2.12,8608.4,0:05:41,6.3,2,356,174,,0,15:03:55,11:01:39,5/24/2022,32.2311442,-110.9079405,12SWA 08673 66060,1.1,1.7,86.7,3,8,16.7,-1.6,-0.3,-0.4,0.4,0,0,0,112.98,0,0,0,0,0
